Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.3818,Sat Feb 03 09:18:45 +0000 2018,0.178,0.822,0.0,1
-0.296,Sat Feb 03 09:18:39 +0000 2018,0.095,0.905,0.0,2
-0.5994,Sat Feb 03 09:18:21 +0000 2018,0.189,0.811,0.0,3
-0.296,Sat Feb 03 09:18:15 +0000 2018,0.355,0.645,0.0,4
-0.5267,Sat Feb 03 09:18:05 +0000 2018,0.173,0.827,0.0,5
-0.5267,Sat Feb 03 09:17:42 +0000 2018,0.175,0.825,0.0,6
-0.3182,Sat Feb 03 09:17:38 +0000 2018,0.119,0.881,0.0,7
0.0516,Sat Feb 03 09:17:37 +0000 2018,0.151,0.69,0.159,8
0.0,Sat Feb 03 09:16:45 +0000 2018,0.0,1.0,0.0,9
0.4574,Sat Feb 03 09:16:38 +0000 2018,0.0,0.813,0.187,10
0.3612,Sat Feb 03 09:16:02 +0000 2018,0.0,0.884,0.116,11
-0.3182,Sat Feb 03 09:15:55 +0000 2018,0.113,0.887,0.0,12
0.8591,Sat Feb 03 09:15:45 +0000 2018,0.099,0.546,0.355,13
-0.2263,Sat Feb 03 09:15:08 +0000 2018,0.163,0.707,0.131,14
0.8591,Sat Feb 03 09:14:58 +0000 2018,0.099,0.546,0.355,15
-0.6249,Sat Feb 03 09:14:46 +0000 2018,0.219,0.707,0.074,16
-0.5994,Sat Feb 03 09:14:40 +0000 2018,0.353,0.647,0.0,17
0.296,Sat Feb 03 09:14:04 +0000 2018,0.0,0.864,0.136,18
0.296,Sat Feb 03 09:13:55 +0000 2018,0.094,0.769,0.136,19
0.624,Sat Feb 03 09:13:53 +0000 2018,0.0,0.702,0.298,20
0.0,Sat Feb 03 09:13:22 +0000 2018,0.0,1.0,0.0,21
0.8591,Sat Feb 03 09:13:19 +0000 2018,0.099,0.546,0.355,22
-0.128,Sat Feb 03 09:13:12 +0000 2018,0.124,0.772,0.104,23
0.296,Sat Feb 03 09:12:58 +0000 2018,0.094,0.769,0.136,24
0.8442,Sat Feb 03 09:12:52 +0000 2018,0.0,0.569,0.431,25
0.0,Sat Feb 03 09:12:50 +0000 2018,0.0,1.0,0.0,26
-0.8828,Sat Feb 03 09:12:46 +0000 2018,0.399,0.601,0.0,27
0.0,Sat Feb 03 09:12:18 +0000 2018,0.0,1.0,0.0,28
0.0,Sat Feb 03 09:12:17 +0000 2018,0.0,1.0,0.0,29
-0.296,Sat Feb 03 09:12:05 +0000 2018,0.095,0.905,0.0,30
0.0,Sat Feb 03 09:12:05 +0000 2018,0.0,1.0,0.0,31
0.0,Sat Feb 03 09:12:01 +0000 2018,0.0,1.0,0.0,32
0.296,Sat Feb 03 09:11:56 +0000 2018,0.0,0.855,0.145,33
