Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.296,Sat Feb 03 08:55:46 +0000 2018,0.136,0.864,0.0,1
-0.296,Sat Feb 03 08:53:31 +0000 2018,0.145,0.855,0.0,2
-0.4215,Sat Feb 03 08:53:15 +0000 2018,0.109,0.845,0.046,3
0.6486,Sat Feb 03 08:48:37 +0000 2018,0.0,0.762,0.238,4
0.6486,Sat Feb 03 08:47:51 +0000 2018,0.0,0.762,0.238,5
0.7059,Sat Feb 03 08:43:54 +0000 2018,0.0,0.773,0.227,6
-0.5106,Sat Feb 03 08:43:38 +0000 2018,0.136,0.864,0.0,7
0.6249,Sat Feb 03 08:43:33 +0000 2018,0.0,0.683,0.317,8
0.0,Sat Feb 03 08:42:07 +0000 2018,0.0,1.0,0.0,9
-0.6408,Sat Feb 03 08:38:18 +0000 2018,0.19,0.81,0.0,10
0.3612,Sat Feb 03 08:36:58 +0000 2018,0.0,0.902,0.098,11
0.7059,Sat Feb 03 08:35:44 +0000 2018,0.0,0.754,0.246,12
-0.3071,Sat Feb 03 08:34:03 +0000 2018,0.111,0.889,0.0,13
0.6825,Sat Feb 03 08:33:24 +0000 2018,0.0,0.805,0.195,14
-0.5106,Sat Feb 03 08:33:23 +0000 2018,0.136,0.864,0.0,15
0.3612,Sat Feb 03 08:28:58 +0000 2018,0.0,0.872,0.128,16
0.0,Sat Feb 03 08:28:30 +0000 2018,0.0,1.0,0.0,17
0.0,Sat Feb 03 08:25:21 +0000 2018,0.0,1.0,0.0,18
-0.3725,Sat Feb 03 08:24:21 +0000 2018,0.169,0.721,0.11,19
0.8164,Sat Feb 03 08:24:01 +0000 2018,0.0,0.586,0.414,20
-0.5106,Sat Feb 03 08:20:36 +0000 2018,0.136,0.864,0.0,21
-0.296,Sat Feb 03 08:18:11 +0000 2018,0.104,0.896,0.0,22
0.0,Sat Feb 03 08:15:27 +0000 2018,0.0,1.0,0.0,23
0.0,Sat Feb 03 08:14:28 +0000 2018,0.0,1.0,0.0,24
0.0772,Sat Feb 03 08:13:35 +0000 2018,0.0,0.909,0.091,25
0.0,Sat Feb 03 08:12:44 +0000 2018,0.0,1.0,0.0,26
0.0,Sat Feb 03 08:11:02 +0000 2018,0.0,1.0,0.0,27
0.296,Sat Feb 03 08:08:56 +0000 2018,0.0,0.879,0.121,28
0.0,Sat Feb 03 08:07:09 +0000 2018,0.0,1.0,0.0,29
-0.5106,Sat Feb 03 08:05:47 +0000 2018,0.136,0.864,0.0,30
-0.296,Sat Feb 03 08:03:51 +0000 2018,0.145,0.855,0.0,31
0.0,Sat Feb 03 08:02:30 +0000 2018,0.0,1.0,0.0,32
-0.5106,Sat Feb 03 08:01:50 +0000 2018,0.136,0.864,0.0,33
-0.8402,Sat Feb 03 08:00:41 +0000 2018,0.357,0.643,0.0,34
0.0,Sat Feb 03 07:58:57 +0000 2018,0.0,1.0,0.0,35
0.0,Sat Feb 03 07:58:23 +0000 2018,0.0,1.0,0.0,36
0.0,Sat Feb 03 07:58:16 +0000 2018,0.0,1.0,0.0,37
0.0,Sat Feb 03 07:56:27 +0000 2018,0.0,1.0,0.0,38
0.0,Sat Feb 03 07:55:18 +0000 2018,0.0,1.0,0.0,39
-0.5106,Sat Feb 03 07:50:35 +0000 2018,0.136,0.864,0.0,40
-0.3612,Sat Feb 03 07:50:06 +0000 2018,0.185,0.815,0.0,41
-0.5106,Sat Feb 03 07:46:16 +0000 2018,0.136,0.864,0.0,42
-0.4767,Sat Feb 03 07:46:12 +0000 2018,0.237,0.763,0.0,43
0.0,Sat Feb 03 07:45:33 +0000 2018,0.0,1.0,0.0,44
0.6351,Sat Feb 03 07:45:13 +0000 2018,0.0,0.741,0.259,45
-0.5106,Sat Feb 03 07:44:40 +0000 2018,0.136,0.864,0.0,46
-0.8402,Sat Feb 03 07:44:32 +0000 2018,0.357,0.643,0.0,47
0.0772,Sat Feb 03 07:43:33 +0000 2018,0.0,0.909,0.091,48
0.4003,Sat Feb 03 07:43:01 +0000 2018,0.0,0.876,0.124,49
0.6166,Sat Feb 03 07:42:51 +0000 2018,0.0,0.776,0.224,50
-0.2732,Sat Feb 03 07:42:37 +0000 2018,0.084,0.875,0.042,51
-0.2732,Sat Feb 03 07:42:12 +0000 2018,0.084,0.875,0.042,52
-0.5106,Sat Feb 03 07:41:51 +0000 2018,0.136,0.864,0.0,53
-0.5106,Sat Feb 03 07:40:55 +0000 2018,0.136,0.864,0.0,54
0.0,Sat Feb 03 07:40:12 +0000 2018,0.0,1.0,0.0,55
-0.8402,Sat Feb 03 07:40:03 +0000 2018,0.357,0.643,0.0,56
0.5053,Sat Feb 03 07:40:00 +0000 2018,0.0,0.789,0.211,57
-0.5106,Sat Feb 03 07:37:22 +0000 2018,0.136,0.864,0.0,58
-0.2732,Sat Feb 03 07:36:02 +0000 2018,0.084,0.875,0.042,59
-0.5106,Sat Feb 03 07:35:58 +0000 2018,0.136,0.864,0.0,60
-0.5106,Sat Feb 03 07:35:10 +0000 2018,0.268,0.732,0.0,61
0.5242,Sat Feb 03 07:34:57 +0000 2018,0.0,0.861,0.139,62
0.6879,Sat Feb 03 07:34:29 +0000 2018,0.105,0.563,0.333,63
0.0,Sat Feb 03 07:34:15 +0000 2018,0.0,1.0,0.0,64
