Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.3182,Sat Feb 03 08:58:27 +0000 2018,0.084,0.916,0.0,1
0.4836,Sat Feb 03 08:58:24 +0000 2018,0.0,0.778,0.222,2
-0.296,Sat Feb 03 08:58:23 +0000 2018,0.109,0.891,0.0,3
0.0,Sat Feb 03 08:58:21 +0000 2018,0.0,1.0,0.0,4
-0.6249,Sat Feb 03 08:58:15 +0000 2018,0.141,0.859,0.0,5
-0.6808,Sat Feb 03 08:58:15 +0000 2018,0.223,0.777,0.0,6
-0.6249,Sat Feb 03 08:58:12 +0000 2018,0.141,0.859,0.0,7
0.0,Sat Feb 03 08:58:12 +0000 2018,0.0,1.0,0.0,8
-0.3818,Sat Feb 03 08:58:10 +0000 2018,0.106,0.894,0.0,9
0.0,Sat Feb 03 08:58:09 +0000 2018,0.0,1.0,0.0,10
-0.5574,Sat Feb 03 08:58:08 +0000 2018,0.205,0.795,0.0,11
0.3612,Sat Feb 03 08:58:04 +0000 2018,0.0,0.815,0.185,12
0.0,Sat Feb 03 08:58:04 +0000 2018,0.0,1.0,0.0,13
0.0,Sat Feb 03 08:58:03 +0000 2018,0.0,1.0,0.0,14
0.4404,Sat Feb 03 08:58:03 +0000 2018,0.0,0.861,0.139,15
0.0,Sat Feb 03 08:58:00 +0000 2018,0.0,1.0,0.0,16
0.0,Sat Feb 03 08:58:00 +0000 2018,0.0,1.0,0.0,17
0.354,Sat Feb 03 08:58:00 +0000 2018,0.139,0.567,0.294,18
-0.6249,Sat Feb 03 08:57:56 +0000 2018,0.141,0.859,0.0,19
0.0258,Sat Feb 03 08:57:56 +0000 2018,0.0,0.939,0.061,20
0.0,Sat Feb 03 08:57:55 +0000 2018,0.0,1.0,0.0,21
-0.7579,Sat Feb 03 08:57:51 +0000 2018,0.619,0.381,0.0,22
-0.1027,Sat Feb 03 08:57:51 +0000 2018,0.19,0.695,0.115,23
0.0,Sat Feb 03 08:57:49 +0000 2018,0.0,1.0,0.0,24
0.0,Sat Feb 03 08:57:48 +0000 2018,0.0,1.0,0.0,25
0.4019,Sat Feb 03 08:57:47 +0000 2018,0.0,0.903,0.097,26
0.0,Sat Feb 03 08:57:46 +0000 2018,0.0,1.0,0.0,27
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,28
-0.3182,Sat Feb 03 08:57:44 +0000 2018,0.084,0.916,0.0,29
0.0,Sat Feb 03 08:57:43 +0000 2018,0.0,1.0,0.0,30
0.0,Sat Feb 03 08:57:42 +0000 2018,0.0,1.0,0.0,31
0.4497,Sat Feb 03 08:57:41 +0000 2018,0.0,0.871,0.129,32
-0.926,Sat Feb 03 08:57:40 +0000 2018,0.342,0.658,0.0,33
0.4019,Sat Feb 03 08:57:40 +0000 2018,0.13,0.632,0.237,34
-0.3182,Sat Feb 03 08:57:37 +0000 2018,0.084,0.916,0.0,35
0.0,Sat Feb 03 08:57:37 +0000 2018,0.0,1.0,0.0,36
-0.4767,Sat Feb 03 08:57:35 +0000 2018,0.154,0.846,0.0,37
0.0,Sat Feb 03 08:57:27 +0000 2018,0.0,1.0,0.0,38
0.0,Sat Feb 03 08:57:24 +0000 2018,0.0,1.0,0.0,39
0.0,Sat Feb 03 08:57:24 +0000 2018,0.0,1.0,0.0,40
0.0,Sat Feb 03 08:57:22 +0000 2018,0.083,0.833,0.083,41
0.2381,Sat Feb 03 08:57:21 +0000 2018,0.079,0.794,0.127,42
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,43
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,44
-0.4215,Sat Feb 03 08:57:19 +0000 2018,0.149,0.764,0.087,45
0.6908,Sat Feb 03 08:57:16 +0000 2018,0.0,0.725,0.275,46
-0.2588,Sat Feb 03 08:57:10 +0000 2018,0.194,0.641,0.165,47
0.5473,Sat Feb 03 08:57:08 +0000 2018,0.0,0.828,0.172,48
0.4019,Sat Feb 03 08:57:08 +0000 2018,0.0,0.903,0.097,49
-0.9195,Sat Feb 03 08:57:07 +0000 2018,0.521,0.479,0.0,50
0.0,Sat Feb 03 08:57:06 +0000 2018,0.0,1.0,0.0,51
-0.2263,Sat Feb 03 08:57:04 +0000 2018,0.091,0.909,0.0,52
-0.8689,Sat Feb 03 08:57:03 +0000 2018,0.366,0.634,0.0,53
-0.6249,Sat Feb 03 08:57:03 +0000 2018,0.141,0.859,0.0,54
0.5423,Sat Feb 03 08:57:00 +0000 2018,0.0,0.837,0.163,55
0.0,Sat Feb 03 08:56:57 +0000 2018,0.0,1.0,0.0,56
-0.6948,Sat Feb 03 08:56:56 +0000 2018,0.192,0.808,0.0,57
-0.8114,Sat Feb 03 08:56:54 +0000 2018,0.293,0.637,0.07,58
0.0,Sat Feb 03 08:56:49 +0000 2018,0.0,1.0,0.0,59
-0.8126,Sat Feb 03 08:56:48 +0000 2018,0.316,0.684,0.0,60
0.6908,Sat Feb 03 08:56:47 +0000 2018,0.0,0.695,0.305,61
0.0,Sat Feb 03 08:56:47 +0000 2018,0.0,1.0,0.0,62
0.3612,Sat Feb 03 08:56:45 +0000 2018,0.0,0.878,0.122,63
-0.7506,Sat Feb 03 08:56:40 +0000 2018,0.218,0.782,0.0,64
0.3412,Sat Feb 03 08:56:39 +0000 2018,0.0,0.789,0.211,65
-0.34,Sat Feb 03 08:56:38 +0000 2018,0.211,0.789,0.0,66
-0.7506,Sat Feb 03 08:56:33 +0000 2018,0.218,0.782,0.0,67
0.0,Sat Feb 03 08:56:29 +0000 2018,0.0,1.0,0.0,68
-0.3753,Sat Feb 03 08:56:28 +0000 2018,0.114,0.886,0.0,69
0.0,Sat Feb 03 08:56:26 +0000 2018,0.0,1.0,0.0,70
-0.0772,Sat Feb 03 08:56:23 +0000 2018,0.064,0.936,0.0,71
0.7854,Sat Feb 03 08:56:21 +0000 2018,0.124,0.453,0.423,72
-0.5423,Sat Feb 03 08:56:19 +0000 2018,0.132,0.868,0.0,73
-0.5574,Sat Feb 03 08:56:10 +0000 2018,0.153,0.847,0.0,74
0.0,Sat Feb 03 08:56:09 +0000 2018,0.0,1.0,0.0,75
-0.7506,Sat Feb 03 08:56:08 +0000 2018,0.218,0.782,0.0,76
0.5719,Sat Feb 03 08:56:07 +0000 2018,0.0,0.213,0.787,77
-0.2716,Sat Feb 03 08:56:07 +0000 2018,0.091,0.909,0.0,78
0.6369,Sat Feb 03 08:56:02 +0000 2018,0.0,0.802,0.198,79
-0.6124,Sat Feb 03 08:56:00 +0000 2018,0.228,0.725,0.047,80
0.0,Sat Feb 03 08:55:59 +0000 2018,0.0,1.0,0.0,81
-0.2716,Sat Feb 03 08:55:55 +0000 2018,0.091,0.909,0.0,82
-0.0772,Sat Feb 03 08:55:52 +0000 2018,0.071,0.929,0.0,83
-0.3182,Sat Feb 03 08:55:50 +0000 2018,0.084,0.916,0.0,84
0.0,Sat Feb 03 08:55:49 +0000 2018,0.0,1.0,0.0,85
0.0172,Sat Feb 03 08:55:48 +0000 2018,0.107,0.782,0.111,86
0.0,Sat Feb 03 08:55:47 +0000 2018,0.0,1.0,0.0,87
0.0,Sat Feb 03 08:55:45 +0000 2018,0.0,1.0,0.0,88
-0.7506,Sat Feb 03 08:55:45 +0000 2018,0.218,0.782,0.0,89
