Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sat Feb 03 08:58:52 +0000 2018,0.0,1.0,0.0,1
0.0,Sat Feb 03 08:58:48 +0000 2018,0.0,1.0,0.0,2
0.0,Sat Feb 03 08:58:46 +0000 2018,0.0,1.0,0.0,3
0.0,Sat Feb 03 08:58:39 +0000 2018,0.0,1.0,0.0,4
0.0,Sat Feb 03 08:58:36 +0000 2018,0.0,1.0,0.0,5
-0.6488,Sat Feb 03 08:58:35 +0000 2018,0.202,0.798,0.0,6
-0.6671,Sat Feb 03 08:58:35 +0000 2018,0.199,0.801,0.0,7
-0.5255,Sat Feb 03 08:58:35 +0000 2018,0.404,0.596,0.0,8
-0.34,Sat Feb 03 08:58:35 +0000 2018,0.124,0.876,0.0,9
-0.4767,Sat Feb 03 08:58:34 +0000 2018,0.341,0.659,0.0,10
0.0,Sat Feb 03 08:58:29 +0000 2018,0.0,1.0,0.0,11
-0.5719,Sat Feb 03 08:58:29 +0000 2018,0.198,0.802,0.0,12
0.7783,Sat Feb 03 08:58:27 +0000 2018,0.0,0.673,0.327,13
0.6361,Sat Feb 03 08:58:27 +0000 2018,0.172,0.487,0.341,14
0.0,Sat Feb 03 08:58:26 +0000 2018,0.0,1.0,0.0,15
0.0,Sat Feb 03 08:58:26 +0000 2018,0.0,1.0,0.0,16
0.0,Sat Feb 03 08:58:25 +0000 2018,0.0,1.0,0.0,17
0.2023,Sat Feb 03 08:58:24 +0000 2018,0.092,0.78,0.128,18
0.0,Sat Feb 03 08:58:22 +0000 2018,0.0,1.0,0.0,19
0.0,Sat Feb 03 08:58:20 +0000 2018,0.0,1.0,0.0,20
0.0772,Sat Feb 03 08:58:18 +0000 2018,0.086,0.816,0.098,21
0.0,Sat Feb 03 08:58:18 +0000 2018,0.0,1.0,0.0,22
-0.4939,Sat Feb 03 08:58:17 +0000 2018,0.186,0.814,0.0,23
0.0,Sat Feb 03 08:58:15 +0000 2018,0.0,1.0,0.0,24
-0.5719,Sat Feb 03 08:58:14 +0000 2018,0.198,0.802,0.0,25
0.4199,Sat Feb 03 08:58:12 +0000 2018,0.0,0.859,0.141,26
-0.8016,Sat Feb 03 08:58:07 +0000 2018,0.297,0.703,0.0,27
0.0,Sat Feb 03 08:58:06 +0000 2018,0.0,1.0,0.0,28
0.4767,Sat Feb 03 08:58:03 +0000 2018,0.0,0.853,0.147,29
0.0,Sat Feb 03 08:58:01 +0000 2018,0.0,1.0,0.0,30
0.4019,Sat Feb 03 08:58:00 +0000 2018,0.0,0.891,0.109,31
0.0,Sat Feb 03 08:57:59 +0000 2018,0.0,1.0,0.0,32
0.4199,Sat Feb 03 08:57:58 +0000 2018,0.0,0.887,0.113,33
-0.3818,Sat Feb 03 08:57:57 +0000 2018,0.245,0.755,0.0,34
-0.516,Sat Feb 03 08:57:54 +0000 2018,0.235,0.669,0.096,35
0.0,Sat Feb 03 08:57:53 +0000 2018,0.0,1.0,0.0,36
0.8122,Sat Feb 03 08:57:52 +0000 2018,0.0,0.638,0.362,37
0.0,Sat Feb 03 08:57:51 +0000 2018,0.0,1.0,0.0,38
0.6295,Sat Feb 03 08:57:50 +0000 2018,0.129,0.597,0.274,39
0.0,Sat Feb 03 08:57:50 +0000 2018,0.0,1.0,0.0,40
-0.4588,Sat Feb 03 08:57:49 +0000 2018,0.239,0.652,0.109,41
0.4215,Sat Feb 03 08:57:49 +0000 2018,0.078,0.745,0.177,42
0.0,Sat Feb 03 08:57:48 +0000 2018,0.0,1.0,0.0,43
0.0,Sat Feb 03 08:57:47 +0000 2018,0.0,1.0,0.0,44
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,45
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,46
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,47
0.0,Sat Feb 03 08:57:39 +0000 2018,0.0,1.0,0.0,48
0.0,Sat Feb 03 08:57:38 +0000 2018,0.0,1.0,0.0,49
0.0,Sat Feb 03 08:57:37 +0000 2018,0.0,1.0,0.0,50
-0.3595,Sat Feb 03 08:57:34 +0000 2018,0.293,0.707,0.0,51
0.4767,Sat Feb 03 08:57:33 +0000 2018,0.0,0.866,0.134,52
-0.34,Sat Feb 03 08:57:31 +0000 2018,0.129,0.81,0.062,53
0.0,Sat Feb 03 08:57:31 +0000 2018,0.0,1.0,0.0,54
0.0,Sat Feb 03 08:57:30 +0000 2018,0.0,1.0,0.0,55
0.0,Sat Feb 03 08:57:29 +0000 2018,0.0,1.0,0.0,56
0.0,Sat Feb 03 08:57:25 +0000 2018,0.0,1.0,0.0,57
0.0,Sat Feb 03 08:57:25 +0000 2018,0.0,1.0,0.0,58
-0.8885,Sat Feb 03 08:57:25 +0000 2018,0.368,0.632,0.0,59
0.2023,Sat Feb 03 08:57:23 +0000 2018,0.101,0.758,0.141,60
-0.5719,Sat Feb 03 08:57:23 +0000 2018,0.198,0.802,0.0,61
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,62
0.0,Sat Feb 03 08:57:20 +0000 2018,0.0,1.0,0.0,63
-0.296,Sat Feb 03 08:57:19 +0000 2018,0.282,0.545,0.173,64
0.6597,Sat Feb 03 08:57:18 +0000 2018,0.088,0.625,0.287,65
0.0,Sat Feb 03 08:57:18 +0000 2018,0.0,1.0,0.0,66
0.0,Sat Feb 03 08:57:17 +0000 2018,0.0,1.0,0.0,67
-0.0772,Sat Feb 03 08:57:17 +0000 2018,0.12,0.772,0.108,68
0.0,Sat Feb 03 08:57:13 +0000 2018,0.0,1.0,0.0,69
-0.296,Sat Feb 03 08:57:13 +0000 2018,0.297,0.521,0.182,70
-0.5267,Sat Feb 03 08:57:12 +0000 2018,0.159,0.841,0.0,71
0.2681,Sat Feb 03 08:57:11 +0000 2018,0.052,0.85,0.098,72
0.0,Sat Feb 03 08:57:11 +0000 2018,0.0,1.0,0.0,73
0.5994,Sat Feb 03 08:57:09 +0000 2018,0.0,0.782,0.218,74
0.0,Sat Feb 03 08:57:09 +0000 2018,0.0,1.0,0.0,75
0.8582,Sat Feb 03 08:57:08 +0000 2018,0.0,0.613,0.387,76
