Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0772,Sat Feb 03 08:59:25 +0000 2018,0.0,0.915,0.085,1
0.0,Sat Feb 03 08:59:16 +0000 2018,0.0,1.0,0.0,2
0.0,Sat Feb 03 08:59:10 +0000 2018,0.0,1.0,0.0,3
0.0,Sat Feb 03 08:59:01 +0000 2018,0.0,1.0,0.0,4
0.0,Sat Feb 03 08:59:00 +0000 2018,0.0,1.0,0.0,5
0.8481,Sat Feb 03 08:58:52 +0000 2018,0.0,0.494,0.506,6
0.128,Sat Feb 03 08:58:52 +0000 2018,0.119,0.734,0.147,7
-0.8176,Sat Feb 03 08:58:40 +0000 2018,0.405,0.595,0.0,8
0.0,Sat Feb 03 08:58:21 +0000 2018,0.0,1.0,0.0,9
0.128,Sat Feb 03 08:58:17 +0000 2018,0.0,0.889,0.111,10
-0.6369,Sat Feb 03 08:58:14 +0000 2018,0.231,0.769,0.0,11
0.0,Sat Feb 03 08:58:11 +0000 2018,0.0,1.0,0.0,12
0.5106,Sat Feb 03 08:58:07 +0000 2018,0.0,0.87,0.13,13
0.7677,Sat Feb 03 08:58:06 +0000 2018,0.0,0.816,0.184,14
0.0,Sat Feb 03 08:58:03 +0000 2018,0.0,1.0,0.0,15
0.5859,Sat Feb 03 08:58:00 +0000 2018,0.0,0.853,0.147,16
0.6249,Sat Feb 03 08:58:00 +0000 2018,0.0,0.805,0.195,17
-0.3818,Sat Feb 03 08:57:40 +0000 2018,0.098,0.902,0.0,18
0.5859,Sat Feb 03 08:57:31 +0000 2018,0.0,0.853,0.147,19
0.0,Sat Feb 03 08:57:22 +0000 2018,0.0,1.0,0.0,20
-0.5574,Sat Feb 03 08:57:14 +0000 2018,0.184,0.816,0.0,21
0.0,Sat Feb 03 08:57:12 +0000 2018,0.0,1.0,0.0,22
0.0,Sat Feb 03 08:57:07 +0000 2018,0.0,1.0,0.0,23
-0.296,Sat Feb 03 08:56:53 +0000 2018,0.128,0.872,0.0,24
-0.5574,Sat Feb 03 08:56:38 +0000 2018,0.159,0.841,0.0,25
0.0772,Sat Feb 03 08:56:38 +0000 2018,0.0,0.915,0.085,26
-0.3818,Sat Feb 03 08:56:22 +0000 2018,0.098,0.902,0.0,27
-0.296,Sat Feb 03 08:56:16 +0000 2018,0.078,0.922,0.0,28
-0.3612,Sat Feb 03 08:56:03 +0000 2018,0.213,0.627,0.16,29
-0.8155,Sat Feb 03 08:56:01 +0000 2018,0.332,0.668,0.0,30
0.0,Sat Feb 03 08:56:00 +0000 2018,0.0,1.0,0.0,31
0.0,Sat Feb 03 08:55:58 +0000 2018,0.0,1.0,0.0,32
0.0,Sat Feb 03 08:55:57 +0000 2018,0.0,1.0,0.0,33
-0.2732,Sat Feb 03 08:55:50 +0000 2018,0.259,0.741,0.0,34
0.4404,Sat Feb 03 08:55:45 +0000 2018,0.0,0.805,0.195,35
-0.4404,Sat Feb 03 08:55:43 +0000 2018,0.209,0.791,0.0,36
0.636,Sat Feb 03 08:55:39 +0000 2018,0.0,0.417,0.583,37
0.0258,Sat Feb 03 08:55:35 +0000 2018,0.127,0.742,0.131,38
-0.6908,Sat Feb 03 08:55:29 +0000 2018,0.235,0.684,0.081,39
0.0,Sat Feb 03 08:55:20 +0000 2018,0.0,1.0,0.0,40
-0.296,Sat Feb 03 08:55:17 +0000 2018,0.078,0.922,0.0,41
0.0,Sat Feb 03 08:55:17 +0000 2018,0.0,1.0,0.0,42
